Wed Nov  1 11:21:16 2023    result/profile_binary.txt

         514503093 function calls (514502921 primitive calls) in 553.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
        1    0.000    0.000    0.012    0.012 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/ctypes/util.py:337(find_library)
        1    0.001    0.001    0.011    0.011 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/ctypes/util.py:271(_findSoname_ldconfig)
        1    0.000    0.000    0.011    0.011 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:411(<lambda>)
        1    0.000    0.000    0.011    0.011 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:907(__init__)
        1    0.002    0.002    0.011    0.011 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:934(fillFormat)
       15    0.000    0.000    0.010    0.001 /home/zihan/denElli/big_matrix_cocluster/bicluster.py:34(__init__)
       15    0.010    0.001    0.010    0.001 /home/zihan/denElli/big_matrix_cocluster/bicluster.py:50(idxtoLabel)
        3    0.010    0.003    0.010    0.003 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.007    0.004 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:106(__init__)
       57    0.007    0.000    0.007    0.000 {method 'astype' of 'numpy.ndarray' objects}
       32    0.003    0.000    0.006    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:135(_var)
        1    0.000    0.000    0.006    0.006 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/__init__.py:173(search)
       16    0.000    0.000    0.006    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2836(min)
      223    0.006    0.000    0.006    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
       48    0.001    0.000    0.006    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/extmath.py:52(row_norms)
        2    0.000    0.000    0.005    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/base.py:483(_validate_data)
       48    0.000    0.000    0.005    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/einsumfunc.py:1009(einsum)
        2    0.001    0.000    0.004    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/validation.py:629(check_array)
     3245    0.003    0.000    0.004    0.000 <frozen posixpath>:41(_get_sep)
       30    0.000    0.000    0.004    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3513(std)
       48    0.004    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
        2    0.000    0.000    0.004    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/base.py:592(_validate_params)
       30    0.000    0.000    0.004    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:204(_std)
        1    0.004    0.004    0.004    0.004 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.003    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/cluster/_kmeans.py:1361(_check_params_vs_input)
     4623    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.003    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/cluster/_kmeans.py:856(_check_params_vs_input)
        6    0.000    0.000    0.003    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/extmath.py:1115(stable_cumsum)
      916    0.002    0.000    0.003    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:987(_check_prefix)
        2    0.000    0.000    0.003    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/cluster/_kmeans.py:262(_tolerance)
        2    0.002    0.001    0.003    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/validation.py:1207(check_random_state)
      229    0.001    0.000    0.003    0.000 <frozen posixpath>:397(abspath)
     5470    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:780(_formatArray)
        2    0.000    0.000    0.003    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/__init__.py:272(_compile)
        1    0.001    0.001    0.003    0.003 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/subprocess.py:807(__init__)
    104/1    0.001    0.000    0.003    0.003 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:789(recurser)
        3    0.000    0.000    0.003    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/npyio.py:475(save)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3654(var)
        2    0.000    0.000    0.002    0.001 {built-in method sklearn.utils._openmp_helpers._openmp_effective_n_threads}
       30    0.000    0.000    0.002    0.000 {method 'any' of 'numpy.ndarray' objects}
      494    0.001    0.000    0.002    0.000 <frozen posixpath>:60(isabs)
        3    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_array_api.py:168(_asarray_with_order)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:28(validate_parameter_constraints)
       30    0.000    0.000    0.002    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:55(_any)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/_compiler.py:738(compile)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/base.py:153(get_params)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/base.py:122(_get_param_names)
        3    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/format.py:666(write_array)
       69    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
       24    0.002    0.000    0.002    0.000 {built-in method io.open}
       79    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
        6    0.000    0.000    0.002    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/numeric.py:2249(isclose)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/inspect.py:3278(signature)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/joblib/parallel.py:615(cpu_count)
       79    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/inspect.py:3024(from_callable)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/joblib/externals/loky/backend/context.py:83(cpu_count)
      182    0.000    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.001    0.001    0.002    0.002 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/subprocess.py:1789(_execute_child)
        2    0.000    0.000    0.002    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/joblib/externals/loky/backend/context.py:220(_cpu_count_user)
        2    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/inspect.py:2428(_signature_from_callable)
        2    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/_parser.py:972(parse)
        2    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/joblib/externals/loky/backend/context.py:148(_cpu_count_cgroup)
        4    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:675(info)
        1    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/npyio.py:282(load)
     2512    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
      3/2    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/_parser.py:449(_parse_sub)
     2434    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3943    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       19    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/ctypes/__init__.py:386(__getattr__)
      229    0.001    0.000    0.001    0.000 <frozen posixpath>:140(basename)
        4    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:677(<listcomp>)
       30    0.001    0.000    0.001    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/format.py:738(read_array)
        8    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:115(info)
       19    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/index_tricks.py:34(ix_)
       24    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
      229    0.001    0.000    0.001    0.000 <frozen posixpath>:389(normpath)
       18    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:74(<listcomp>)
       19    0.001    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/ctypes/__init__.py:393(__getitem__)
        2    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/fixes.py:134(threadpool_limits)
    28/26    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:103(make_constraint)
      3/2    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/_parser.py:509(_parse)
        1    0.001    0.001    0.001    0.001 {built-in method numpy.fromfile}
        2    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:718(limit)
        5    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:429(__init__)
      103    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
        3    0.001    0.000    0.001    0.000 {method 'tofile' of 'numpy.ndarray' objects}
    12007    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       11    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
        2    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/inspect.py:2333(_signature_from_function)
        8    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:133(num_threads)
    54/51    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
     2422    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2692(max)
        4    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:166(get_num_threads)
        2    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/validation.py:96(_assert_all_finite)
    54/51    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      103    0.001    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:1018(__call__)
       40    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:997(_warn_if_incompatible_openmp)
        2    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/contextlib.py:78(inner)
       73    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/contextlib.py:287(helper)
        6    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/numeric.py:2330(within_tol)
        2    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/_compiler.py:571(_code)
       77    0.000    0.000    0.001    0.000 <frozen posixpath>:100(split)
       22    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:33(seterr)
